household_key,shop_trip_count,product_count,total_spent,total_size,age,income,household_count,per_capita_size,per_capita_cost
1468,63,1346,4134.42,31990.44,70,87.5,2,15995.22,2067.21
1470,84,484,1494.14,13597.19,50,42.5,1,13597.19,1494.14
1474,70,726,2263.31,15245.43,40,62.5,1,15245.43,2263.31
1481,121,806,2152.37,17108.96,22,42.5,1,17108.96,2152.37
1484,97,1444,3609.9,34013,22,42.5,2,17006.5,1804.95
1488,62,1038,2976.93,23407.18,30,62.5,2,11703.59,1488.465
1509,139,1242,4272.8,30825.95,50,62.5,2,15412.975,2136.4
1534,204,1838,5537.13,33588.83,30,87.5,3,11196.27667,1845.71
1545,159,1110,3448.01,26567.61,50,42.5,2,13283.805,1724.005
1549,151,750,2167.11,20338.31,50,20,1,20338.31,2167.11
1556,128,1817,4636.5,40218.92,50,42.5,2,20109.46,2318.25
1557,125,1955,5183.84,54069.98,30,112.5,4,13517.495,1295.96
1566,207,1219,4712.3,28115.94,40,87.5,2,14057.97,2356.15
1578,84,1156,3177.52,22533.6,50,20,2,11266.8,1588.76
158,170,655,1724.71,16472.61,50,62.5,1,16472.61,1724.71
16,85,578,1655.23,16175.35,50,62.5,1,16175.35,1655.23
161,220,1650,5945.64,33127.65,22,87.5,3,11042.55,1981.88
1618,67,1126,3075.74,28540.83,40,87.5,2,14270.415,1537.87
1627,68,470,1822.82,10808.3,30,42.5,1,10808.3,1822.82
1631,313,4553,12629.6,98449.31,22,10,4,24612.3275,3157.4
164,96,1479,4008.87,34183.82,50,42.5,2,17091.91,2004.435
1648,60,968,3991.66,20609.67,40,20,1,20609.67,3991.66
165,132,1000,3734.89,22924.71,60,42.5,2,11462.355,1867.445
1676,69,1764,4902.88,42694.65,40,87.5,2,21347.325,2451.44
1689,86,496,2193.97,11353.98,50,62.5,1,11353.98,2193.97
1692,109,780,2173.69,19206.55,40,62.5,1,19206.55,2173.69
1693,139,2424,7214.84,56306.37,30,42.5,3,18768.79,2404.946667
1749,76,820,2858.38,18613.4,60,42.5,1,18613.4,2858.38
1753,261,868,1920.2,17114.14,50,42.5,1,17114.14,1920.2
1762,193,3707,11097.17,82099.5,50,137.5,5,16419.9,2219.434
1764,90,2031,7377.27,48120.45,50,87.5,4,12030.1125,1844.3175
1765,58,973,3021.75,21334.45,50,42.5,1,21334.45,3021.75
1775,151,2302,8721.79,52527.15,50,87.5,5,10505.43,1744.358
1779,92,1603,4783.36,33561.31,70,87.5,2,16780.655,2391.68
1788,100,1684,4694.93,41385.64,40,87.5,2,20692.82,2347.465
1791,115,854,2896.63,20808.16,50,112.5,2,10404.08,1448.315
18,127,1792,6078.25,44930.9,50,112.5,2,22465.45,3039.125
1802,50,1069,4502.85,25953.23,50,162.5,2,12976.615,2251.425
1803,141,1581,5166.84,35679.03,22,62.5,3,11893.01,1722.28
1812,75,452,1208.35,11125.98,50,62.5,1,11125.98,1208.35
1814,51,927,3606.95,21500.5,70,162.5,2,10750.25,1803.475
1820,72,1016,3143.4,24443.47,50,162.5,2,12221.735,1571.7
1822,174,1521,4384.26,33684.2,60,42.5,2,16842.1,2192.13
1847,88,850,2761.77,20882.89,50,187.5,1,20882.89,2761.77
1848,85,2004,5529.27,43019.86,50,87.5,3,14339.95333,1843.09
1850,149,1893,4996.41,41418.13,70,87.5,2,20709.065,2498.205
1858,62,866,2692.96,22011.91,30,162.5,1,22011.91,2692.96
1864,127,3705,13676.7,112574.38,50,137.5,5,22514.876,2735.34
1869,97,1476,4071.4,33489.46,22,42.5,2,16744.73,2035.7
1879,256,1805,4231.5,47966.25,70,42.5,2,23983.125,2115.75
1892,207,1663,5846.91,35413.17,40,42.5,3,11804.39,1948.97
1896,92,928,2554.56,21985.53,50,62.5,2,10992.765,1277.28
1899,67,2880,10635.42,74764.46,30,30,3,24921.48667,3545.14
1914,93,498,1470.35,13436.93,60,87.5,1,13436.93,1470.35
192,91,1182,3790.44,25551.89,50,42.5,2,12775.945,1895.22
1931,94,876,3187.21,21443.62,50,62.5,1,21443.62,3187.21
1935,78,1151,5270.6,29766.02,60,162.5,2,14883.01,2635.3
1939,47,983,3124.7,21750.66,40,62.5,2,10875.33,1562.35
1944,111,2728,8262.66,72082.77,30,137.5,4,18020.6925,2065.665
1946,45,913,3058.66,20223.48,30,87.5,1,20223.48,3058.66
1948,70,693,1365.74,16648.62,40,62.5,1,16648.62,1365.74
1953,103,787,3059.24,17254.6,50,62.5,1,17254.6,3059.24
1962,111,1019,2991.04,21177.11,70,30,2,10588.555,1495.52
1964,68,1055,2591.56,20347.91,70,10,1,20347.91,2591.56
198,354,3197,9327.37,66650.36,40,10,3,22216.78667,3109.123333
1997,53,1124,3563.39,23246.69,30,62.5,1,23246.69,3563.39
20,291,1805,5439.96,40319.64,30,87.5,2,20159.82,2719.98
2007,118,2128,6753.41,45041.63,50,62.5,3,15013.87667,2251.136667
