DURATION CATEGORY
ANGEL CAKE
APPLE
APRICOT
ASPARAGUS
BACON
BAKING POWDER
BANANA
BEANS
BEEF CUTS
BEEF HOT DOGS
BEEF VARIETY
BELL PEPPERS
BLUEBERRY
BREAD
BROCCOLI
BUTTER
BUTTERMILK
CABBAGE
CAKE
CAKE/BROWNIE/BREAD MIX
CANDY
CANNED FISH
CANNED FOWL
CANNED FRUIT
CANNED HAM
CANNED MEAT
CANNED MILK
CANNED SAUERKRAUT
CANNED VEGETABLES
CARROTS
CAULIFLOWER
CELERY
CEREAL
CHEESECAKE
CHERRIES
CHOCOLATE
CHOCOLATE SYRUP
COLD JUICE
COOKED BEEF
COOKED CHICKEN
COOKED HAM
COOKED PORK
COOKED TURKEY
COOKIES
CORN
CORN CHIPS
CORNMEAL
COTTAGE CHEESE
CRACKERS
CREAM
CREAM CHEESE
CUCUMBER
CUT FRUIT
CUT VEGETABLE
DELI TRAY
DIPS
DONUTS
DRIED FRUIT
EGGNOG
EGGS
FLOUR
FRESH PASTA
FRIED CHICKEN
FROSTING MIX
FROZEN BISCUITS
FROZEN BREAD
FROZEN BREADED SEAFOOD
FROZEN CORN
FROZEN FOWEL
FROZEN FRUIT
FROZEN JUICE
FROZEN MEAT
FROZEN PIZZA
FROZEN RAW FISH
FROZEN SANDWICH
FROZEN SHELLFISH
FROZEN VEGETABLE
FROZEN WHIPPED
GELATIN
GRAPES
GROUND BEEF
GROUND CHICKEN
GROUND PORK
GROUND TURKEY
HAM LUNCHMEAT
HARD CHEESE
HONEY 
HONEYDEW
ICE CREAM
JELLY
JERKY
KETCHUP
KIWI
LAMB CUTS
LAMB VARIETY
LEMONS
LETTUCE HEAD
LETTUCE LEAF
LIMES
LUNCHMEAT
MANGO
MARGARINE
MARSHMALLOW
MEAT HOT DOGS
MERINGUE PIE
MILK
MUFFINS
MUSHROOM
NUTS
OATMEAL
OILS
OLIVES
ONIONS- DRY
ONIONS- GREEN
ORANGES
PANCAKE MIX
PARTED CHICKEN
PARTED TURKEY
PASTA
PEACH
PEANUT BUTTER
PEAR
PICKLES
PLUM
POP CORN
PORK CUTS
PORK VARIETY
POTATO
POTATO CHIPS
PROCESSED CHEESE
PUDDING
PUMPKIN
RADISH
RASPBERRY
RAW FISH
RAW SAUSAGE
RICE  
RICE BEVERAGE
ROLLS
ROTISSERIE
SALSA
SHELLFISH
SHORTENING
SHREDDED CHEESE
SHRIMP
SMOKED BEEF SAUSAGE
SMOKED SAUSAGE
SNACK CAKES
SODA
SOFT CHEESE
SOUP
SOUR CREAM
SPAGHETTI SAUCE
SPINACH
STORABLE JUICE
STRAWBERRY
SUGAR
SUMMER SQUASH
SYRUP
TANGERINES
TOMATO
TORTILLA
TURKEY LUNCHMEAT
WAFFLES
WATERMELON
WHIPPED CREAM
WHOLE CHICKEN
WHOLE TURKEY
WINTER SQUASH
YOGURT
